symbol, n_gaps, training_time, test_loss, test_acc, test_auc, test_f1, r2
AKAM,102,10.362994194030762,0.7004417181015015,0.523809552192688,0.6574074029922485,0.3749999403953552,-0.035682793070681784
ALB,149,5.059419870376587,0.7100377678871155,0.30000001192092896,0.4124999940395355,0.4615384340286255,-0.16297518008373024
ALGN,174,15.124310970306396,0.7175421714782715,0.4285714328289032,0.5049999952316284,0.2068965584039688,-0.07161710192780957
ALK,139,19.82391881942749,0.6534299254417419,0.6428571939468384,0.606249988079071,0.4444444179534912,-0.11865423650418916
ALL,49,2.1956920623779297,0.7287057042121887,0.4000000059604645,0.5625,0.0,-0.11525451385658414
ALLE,77,3.6813340187072754,0.8026381134986877,0.4375,0.4761905074119568,0.6086956262588501,-0.22626568166783767
AMAT,143,4.30009388923645,0.6810129284858704,0.5862069129943848,0.35539212822914124,0.0,-0.005646558044268168
AMCR,43,7.564554929733276,0.6309946179389954,0.5555555820465088,0.5999999642372131,0.4999999403953552,0.11464897512935435
AMD,259,11.800390720367432,0.6762298941612244,0.5576923489570618,0.7022727727890015,0.6949602365493774,0.010226903214706762
AME,62,3.172408103942871,0.8301971554756165,0.38461539149284363,0.44999998807907104,0.0,-0.33259655144317546
AMGN,56,3.8945741653442383,0.7092391848564148,0.3333333432674408,0.5625,0.4999999701976776,-0.16117100971202292
AMP,101,5.6547629833221436,0.8010473847389221,0.380952388048172,0.26923075318336487,0.5517241358757019,-0.28166692827626916
AMT,43,2.2118630409240723,0.8064085841178894,0.3333333432674408,0.4166666865348816,0.4999999701976776,-0.37390933629322554
AMZN,76,3.1619551181793213,0.6929991245269775,0.5625,0.5000000596046448,0.0,-0.014957193838699201
ANET,149,6.466778039932251,0.6657498478889465,0.6666666865348816,0.6125000715255737,0.7999999523162842,-0.0635780330878839
ANSS,80,3.1126787662506104,0.7237743139266968,0.5,0.6640625,0.6666666269302368,-0.05945676161735136
ANTM,68,5.423246145248413,0.6165730953216553,0.7142857313156128,0.8125,0.0,-0.04013269808323039
