symbol, n_gaps, test_loss, test_acc, test_auc, test_f1, r2
WMT,26,0.6755382418632507,0.5769230723381042,0.636363685131073,0.4761904180049896,0.013516125428444492
NRG,170,0.45646756887435913,0.8117647171020508,0.8748599886894226,0.8082253336906433,0.4063568376885681
CERN,62,0.4209132194519043,0.7903225421905518,0.890282154083252,0.7766203284263611,0.45146934299756425
ZTS,56,0.3444295823574066,0.8750000596046448,0.9731800556182861,0.8490908741950989,0.5770438912308153
LEG,107,0.4104514718055725,0.8317756652832031,0.9043707251548767,0.8162878751754761,0.48288720456642775
HPE,124,0.4852115511894226,0.7580645084381104,0.8339320421218872,0.6433588266372681,0.3116059949868645
AAL,173,0.514685332775116,0.7803468108177185,0.854529619216919,0.8022358417510986,0.3242222716484344
CI,64,0.5653416514396667,0.71875,0.7893450260162354,0.7084639668464661,0.25855253627172403
APA,269,0.5459007024765015,0.7472118735313416,0.8015091419219971,0.7551760077476501,0.25990646804446316
FCX,238,0.6009528040885925,0.680672287940979,0.7412987947463989,0.6463290452957153,0.16917150908633438
PFG,130,0.480448454618454,0.7923076748847961,0.8623776435852051,0.7714529037475586,0.38170784828371596
FITB,114,0.49078360199928284,0.7280701994895935,0.849829912185669,0.7331294417381287,0.34304882705869366
CBRE,100,0.5110313296318054,0.7299999594688416,0.8273309469223022,0.710667610168457,0.3014904112526593
ENPH,569,0.5260591506958008,0.7363796234130859,0.8167222738265991,0.7235250473022461,0.2940017258113661
RCL,150,0.5402036905288696,0.7800000309944153,0.830613374710083,0.7850849628448486,0.279578832444875
EBAY,86,0.6062324643135071,0.6744186282157898,0.7325581312179565,0.6592592597007751,0.15887057922321524
LRCX,153,0.5984825491905212,0.6993464231491089,0.7502562999725342,0.7055778503417969,0.1785646240578328
CTLT,128,0.4962121546268463,0.7265625,0.8336181640625,0.7204685807228088,0.3273250806089336
UA,197,0.5044039487838745,0.7461928725242615,0.8355562686920166,0.767882764339447,0.3252974887347997
FRT,56,0.42302730679512024,0.8392857313156128,0.8955128192901611,0.8284457921981812,0.4652431550843118
COP,159,0.539658784866333,0.7232704758644104,0.8082540035247803,0.7004179954528809,0.27156517083393883
TPR,152,0.4689328074455261,0.7828947305679321,0.8706445693969727,0.7670714855194092,0.39290425478811275
CDNS,93,0.4588560163974762,0.7956989407539368,0.8693023324012756,0.7844308614730835,0.38530154883326173
ILMN,123,0.43480804562568665,0.8536586165428162,0.8914384841918945,0.834453821182251,0.4467387274335992
ZION,116,0.41243237257003784,0.8362069129943848,0.9166149497032166,0.8494814038276672,0.4608287767629471
LHX,43,0.45427206158638,0.7674418687820435,0.846320390701294,0.7697368264198303,0.3854301442439684
LYB,132,0.5584869980812073,0.7045454978942871,0.7935484051704407,0.726177990436554,0.24316326350503925
MET,90,0.5849993824958801,0.6888889074325562,0.756844162940979,0.6635318398475647,0.1990281699724632
ABMD,156,0.4470129907131195,0.7564102411270142,0.8778790235519409,0.7357187867164612,0.4105904269665618
KEY,109,0.53614741563797,0.7981652021408081,0.8085033893585205,0.800815999507904,0.281388506045418
DD,79,0.5374130010604858,0.7088607549667358,0.7944015264511108,0.689436137676239,0.2649348515517841
NFLX,121,0.5957634449005127,0.6611570715904236,0.7513706088066101,0.6040804386138916,0.18047649519305065
VRTX,108,0.4837798774242401,0.7222222089767456,0.841852605342865,0.7440476417541504,0.3478305508308356
ADBE,80,0.48561951518058777,0.8125,0.8689806461334229,0.8063492178916931,0.37002277930215755
MNST,72,0.4931727647781372,0.75,0.8339768648147583,0.725564181804657,0.3374207901936461
KIM,123,0.47950121760368347,0.7723577618598938,0.8517196178436279,0.7599685788154602,0.3615638503187407
LH,61,0.42250481247901917,0.8032787442207336,0.8951613903045654,0.7749999761581421,0.4500491491547589
IFF,62,0.38604405522346497,0.8387096524238586,0.9299895763397217,0.8411765098571777,0.5189948805826866
UNH,48,0.6016983985900879,0.6875,0.7759259939193726,0.6764705181121826,0.11711306109685071
DXC,167,0.5190063714981079,0.7245509028434753,0.8084653615951538,0.5622068643569946,0.286472385678639
AOS,88,0.48004958033561707,0.7954545617103577,0.8511905074119568,0.7983193397521973,0.37174401657540135
NVR,84,0.38682910799980164,0.8571428656578064,0.9252443909645081,0.8423229455947876,0.521345988159128
PVH,176,0.5076364874839783,0.7386363744735718,0.8254552483558655,0.7384788393974304,0.31815740298923867
DISH,177,0.5483458042144775,0.7344632744789124,0.8050511479377747,0.717674195766449,0.27197116018221057
CF,175,0.4363473951816559,0.8057142496109009,0.8881579041481018,0.8267185091972351,0.4332253064122096
YUM,59,0.4854297637939453,0.7796609997749329,0.8833333253860474,0.8057041168212891,0.3476374693937072
LNC,173,0.4059496223926544,0.8381502628326416,0.9195395112037659,0.8332538604736328,0.4903227408692
CMA,131,0.43769946694374084,0.8167939186096191,0.8888754844665527,0.8047341704368591,0.4221498252018733
ORCL,58,0.45045486092567444,0.7758620381355286,0.8825911283493042,0.5824176073074341,0.3455423860598126
LDOS,71,0.39029476046562195,0.8309859037399292,0.9166666865348816,0.7507936358451843,0.4866884347025837
PSA,35,0.5340701341629028,0.7428571581840515,0.7937062978744507,0.7280701398849487,0.22320084336024548
DVN,299,0.5740665793418884,0.692307710647583,0.7676830887794495,0.6576685309410095,0.2106386745856681
MPWR,126,0.4341700077056885,0.80952388048172,0.8924866914749146,0.8205514550209045,0.4418501020041936
APH,58,0.5080942511558533,0.7586206793785095,0.8400000333786011,0.752234935760498,0.3161144207276364
SEE,76,0.46602922677993774,0.75,0.8687500953674316,0.7173054218292236,0.3878985881953473
CRL,85,0.47358080744743347,0.7882353067398071,0.853741466999054,0.7419607639312744,0.3785167823060104
ALB,149,0.5117877125740051,0.7718120813369751,0.8227156400680542,0.7477948069572449,0.3031432655600138
HPQ,95,0.5263326168060303,0.7684211134910583,0.8093947768211365,0.7187084555625916,0.28236747570495724
OXY,171,0.5612219572067261,0.707602322101593,0.7891441583633423,0.7038055658340454,0.23641789321807372
HBAN,111,0.4815756380558014,0.7747747898101807,0.8611475229263306,0.7245007157325745,0.37379359006778157
PKI,74,0.473663866519928,0.7972972989082336,0.8761029243469238,0.7843317985534668,0.4041248671216372
CINF,50,0.4218575060367584,0.7799999713897705,0.9031199216842651,0.7870370149612427,0.44256927333217577
OKE,193,0.5844695568084717,0.6994818449020386,0.7545112371444702,0.7191532850265503,0.1921661254294248
AAP,96,0.5426821708679199,0.6979166865348816,0.798957884311676,0.6885073184967041,0.2565811556558817
BF.B,49,0.42140018939971924,0.8571428656578064,0.8732993602752686,0.8759398460388184,0.4914989281658547
JBHT,68,0.5120841264724731,0.75,0.8364035487174988,0.7563915252685547,0.3027239536088676
COF,100,0.4549083709716797,0.7899999618530273,0.8885554671287537,0.7922376990318298,0.4156546334376108
BA,115,0.5923333764076233,0.7043478488922119,0.7686886787414551,0.707926869392395,0.17414818689261247
KLAC,131,0.5031778812408447,0.7862595319747925,0.835667610168457,0.8152122497558594,0.323533819136712
